,objectid,iso3,adm2_name,adm2_altnm,adm2_id,adm1_name,adm1_id,adm0_name,adm0_id,mapclr,rb,disp_area,salb_id,source,source_id,source_date,lst_update,validity,ID,Gov_ID,Gov_PCode,Gov_NAM_En,Gov_NAM_Ar,Dis_ID,Dis_NAM_En,Dis_NAM_Ar,ADM0_PCode
312,3294,YEM,Shibam,شبام,1043235,Hadramawt,903640,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1908,01/02/2019,05/03/2021,0,46,19,YE19,Hadramaut,حضرموت,1908,Shibam,شبام,YE
313,3295,YEM,Shibam�Kawkaban,شبام كوكبان,1043236,Al Mahwit,903637,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2701,01/02/2019,05/03/2021,0,99,27,YE27,Al Mahwit,المحويت,2701,Shibam Kawkaban,شبام كوكبان,YE
314,3296,YEM,,شعوب,1043237,Sana'a City,903648,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1302,01/02/2019,05/03/2021,0,117,13,YE13,Amanat Al Asimah,أمانة العاصمة,1302,Shu'aub,شعوب,YE
315,3297,YEM,Sibah,سباح,1043238,Abyan,903630,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1205,01/02/2019,05/03/2021,0,224,12,YE12,Abyan,أبين,1205,Sibah,سباح,YE
316,3298,YEM,Sirwah,صرواح,1043239,Ma'rib,903644,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2606,01/02/2019,05/03/2021,0,96,26,YE26,Marib,مأرب,2606,Sirwah,صرواح,YE
317,3299,YEM,Suwayr,صوير,1043240,Amran,903638,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2907,01/02/2019,05/03/2021,0,50,29,YE29,Amran,عمران,2907,Suwayr,صـويــــر,YE
318,3300,YEM,Tarim,تريم,1043241,Hadramawt,903640,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1911,01/02/2019,05/03/2021,0,28,19,YE19,Hadramaut,حضرموت,1911,Tarim,تريم,YE
319,3301,YEM,Thamud,ثمود,1043242,Hadramawt,903640,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1902,01/02/2019,05/03/2021,0,3,19,YE19,Hadramaut,حضرموت,1902,Thamud,ثمود,YE
320,3302,YEM,Thula,ثلاء,1043243,Amran,903638,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2917,01/02/2019,05/03/2021,0,333,29,YE29,Amran,عمران,2917,Thula,ثلاء,YE
321,3303,YEM,Tuban,تبن,1043244,Lahj,903643,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2515,01/02/2019,05/03/2021,0,256,25,YE25,Lahj,لحج,2515,Tuban,تبن,YE
